model_name,mae,rmse,r2,rho,p_value
baseline_mean,1.7026707163803936,2.273491324528949,-0.003584456706771988,,
baseline_last_week,2.043951612903226,3.2379207617505097,-0.7273739238681547,0.28854782297275683,0.000271506539150124
initial_dec_tree,1.7356614243494142,2.2591712194402107,0.0090183395705703,0.38241786928416976,9.08534717218577e-07
initial_ran_for,1.729938425451945,2.22967049938128,0.034730243236703595,0.4483784207936191,4.895149055183525e-09
gk_ran_for,2.733041153135327,3.369761292016379,-0.2616990183524328,-0.3642599950668461,0.30075634885227664
def_ran_for,1.7261916719359456,2.1840046183969015,0.020821418279517112,0.3496995074228129,0.013777275386944272
mid_ran_for,1.5806659933670397,2.0181763123400027,-0.09728795641507126,0.3975276950421208,0.00037673782169702106
fwd_ran_for,2.2779714918531915,2.9615197357443015,-0.18082788895361812,0.33859289186324865,0.14421452691342052
